,adult,budget,id,origin_country,original_language,original_title,overview,popularity,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,ingestion_date,genre,company,country
0,False,0,1151470,['US'],en,The Vigilante,"Returning from Afghanistan, Jessica, a Spec OPS Marine, finds herself in a war she never imagined and discovers middle America suburbia has changed when her thirteen year old sister, Aimee, is abducted by sex traffickers.",1718.4861250000001,2023-09-08,0,100,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,She will find you.,The Vigilante,False,5.85,20,2025-03-24,Thriller,Shattered Images Films,United States of America
1,False,0,1125899,['GB'],en,Cleaner,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.",1510.943375,2025-02-19,0,96,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The stakes are a thousand feet high.,Cleaner,False,5.8,46,2025-03-24,Action,Anton,United Kingdom
2,False,0,1301650,['MN'],mn,Z Zone,"In a remote corner of the world, a group of troubled youths finds themselves whisked away to a mysterious military base after a series of misbehaviors. Expecting little more than a stern reprimand, they are instead thrust into a world of secrets and shadows.  In a desperate bid for freedom, they must unravel the mysteries of the base and confront the sinister forces that lurk in the shadows. But with time running out and danger lurking around every corner, the odds of survival grow slimmer by the minute.  Courage, strength, and sacrifice, would they finally escape the clutches of the base and emerge from the darkness into the light?",1296.4256249999999,2025-02-07,0,83,"[{'english_name': 'Mongolian', 'iso_639_1': 'mn', 'name': ''}]",Released,,Z Zone,False,7.6,9,2025-03-24,Horror,,Mongolia
3,False,270000000,447273,['US'],en,Snow White,"Princess Snow White flees the castle when the Evil Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young thief named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process...",1114.221625,2025-03-19,87000000,109,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,The classic tale comes to life.,Snow White,False,4.664,256,2025-03-24,Family,Walt Disney Pictures,United States of America
4,False,180000000,822119,['US'],en,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",1794.8035,2025-02-12,400056272,119,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,The future favors the brave.,Captain America: Brave New World,False,6.1,1090,2025-03-24,Action,Marvel Studios,United States of America
5,False,320000000,777443,['US'],en,The Electric State,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",932.4646250000001,2025-03-07,0,128,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Rage with the machines.,The Electric State,False,6.638,708,2025-03-24,Science Fiction,AGBO,United States of America
6,False,0,1297763,['US'],ja,ニンジャバットマン対ヤクザリーグ,"The Batman family has returned to the present to discover that Japan has disappeared, and a giant island - Hinomoto - is now in the sky over Gotham City.  At the top sit the Yakuza, a group of superpowered individuals who reign without honor or humanity and look suspiciously like the Justice League. Now, it’s up to Batman and his allies to save Gotham!",1222.743125,2025-03-17,0,90,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Batman Ninja vs. Yakuza League,False,6.7,56,2025-03-24,Animation,Kamikaze Douga,Japan
7,False,1100000,1217379,['TH'],en,Hellhound,"Ready to leave his profession behind, Loreno, an assassin, lends help to an old friend, Cetan, and taking one last job in Thailand seeking out a local kingpin. A lapse in judgment means Loreno crosses paths with old colleague Paul.",627.916375,2024-06-20,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Fight like a god. Die like a man.,Hellhound,False,6.136,22,2025-03-24,Action,,
8,False,0,1210938,['KR'],ko,계시록,A pastor who believes in divine revelation and a detective haunted by visions pursue a missing person case — exposing their own demons in the process.,594.7908749999999,2025-03-20,0,122,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,"With twisted faith, madness begins.",Revelations,False,6.768,29,2025-03-24,Thriller,Wow Point,South Korea
9,False,0,1143407,['IN'],hi,स्काई फ़ोर्स,"In the 1965 Indo-Pak War, India faces a devastating surprise attack. Wing Commander Ahuja leads a retaliatory strike, but Squadron Leader Vijaya goes missing after a heroic solo engagement against a superior enemy jet. Ahuja spends 23 years seeking the truth and uncovering a cover-up.",546.703875,2025-01-24,0,125,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,Some missions end. Others last a lifetime.,Sky Force,False,7.571,13,2025-03-24,Action,Maddock Films,India
